A10-9700
A10-9700E
A12-9800
A12-9800E
A6-9400
A6-9550
A8-9600
Athlon 200GE
Athlon 220GE
Athlon 240GE
Athlon 3000G
Athlon PRO 200GE
Athlon X4 940
Athlon X4 950
Athlon X4 970
PRO A10-9700
PRO A12-9800E
Ryzen 3 1200
Ryzen 3 1300X
Ryzen 3 2200G
Ryzen 3 2200GE
Ryzen 3 2200U
Ryzen 3 2300U
Ryzen 3 3200U
Ryzen 3 3250U
Ryzen 3 PRO 1200
Ryzen 3 PRO 1300
Ryzen 3 PRO 2200GE
Ryzen 3 PRO 2300U
Ryzen 5 1400
Ryzen 5 1500X
Ryzen 5 1600
Ryzen 5 1600X
Ryzen 5 2400G
Ryzen 5 2400GE
Ryzen 5 2500U
Ryzen 5 2600H
Ryzen 5 PRO 1500
Ryzen 5 PRO 1600
Ryzen 5 PRO 2400G
Ryzen 5 PRO 2400GE
Ryzen 5 PRO 2500U
Ryzen 7 1700
Ryzen 7 1700X
Ryzen 7 1800X
Ryzen 7 2700U
Ryzen 7 2800H
Ryzen 7 PRO 1700
Ryzen 7 PRO 1700X
Ryzen 7 PRO 2700U
