Athlon 300U
Athlon Gold 3150G
Athlon Gold 3150GE
Athlon Gold PRO 3150G
Athlon Gold PRO 3150GE
Athlon PRO 300U
Athlon Silver 3050GE
Athlon Silver PRO 3125GE
Ryzen 3 2300X
Ryzen 3 3200G
Ryzen 3 3200GE
Ryzen 3 3300U
Ryzen 3 PRO 3200GE
Ryzen 3 PRO 3300U
Ryzen 5 1600AF
Ryzen 5 2500X
Ryzen 5 2600
Ryzen 5 2600E
Ryzen 5 2600X
Ryzen 5 3400G
Ryzen 5 3400GE
Ryzen 5 3500U
Ryzen 5 3550H
Ryzen 5 3580U
Ryzen 5 PRO 2600
Ryzen 5 PRO 3400GE
Ryzen 5 PRO 3500U
Ryzen 7 2700
Ryzen 7 2700E
Ryzen 7 2700X
Ryzen 7 2700X 50th Anniversary
Ryzen 7 3700U
Ryzen 7 3750H
Ryzen 7 3780U
Ryzen 7 PRO 2700
Ryzen 7 PRO 2700X
Ryzen 7 PRO 3700U
